//基本SPデータベース
//NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DK,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB,RB,SU,SE,RE
21,32,76,32,65,43,32,43,98,109,54,54,54,61,61,87,65,54,76,76,21,32,61,109,43,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,-1,-1
22,34,82,34,70,46,34,46,106,118,58,58,58,66,66,94,70,58,82,82,22,34,66,118,46,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1
23,36,88,36,75,49,36,49,114,127,62,62,62,71,71,101,75,62,88,88,23,36,71,127,49,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1
24,38,94,38,80,52,38,52,122,136,66,66,66,75,75,108,80,66,94,94,24,38,75,136,52,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1
25,40,100,40,85,55,40,55,130,145,70,70,70,80,80,115,85,70,100,100,25,40,80,145,55,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,-1,-1
26,42,106,42,90,58,42,58,138,154,74,74,74,85,85,122,90,74,106,106,26,42,85,154,58,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1
27,44,112,44,95,61,44,61,146,163,78,78,78,89,89,129,95,78,112,112,27,44,89,163,61,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1
28,46,118,46,100,64,46,64,154,172,82,82,82,94,94,136,100,82,118,118,28,46,94,172,64,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1
29,48,124,48,105,67,48,67,162,181,86,86,86,99,99,143,105,86,124,124,29,48,99,181,67,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1
30,50,130,50,110,70,50,70,170,190,90,90,90,104,104,150,110,90,130,130,30,50,104,190,70,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1
31,52,136,52,115,73,52,73,178,199,94,94,94,108,108,157,115,94,136,136,31,52,108,199,73,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1
32,54,142,54,120,76,54,76,186,208,98,98,98,113,113,164,120,98,142,142,32,54,113,208,76,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,-1
33,56,148,56,125,79,56,79,194,217,102,102,102,118,118,171,125,102,148,148,33,56,118,217,79,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1
34,58,154,58,130,82,58,82,202,226,106,106,106,122,122,178,130,106,154,154,34,58,122,226,82,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1
35,60,160,60,135,85,60,85,210,235,110,110,110,127,127,185,135,110,160,160,35,60,127,235,85,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1
36,62,166,62,140,88,62,88,218,244,114,114,114,132,132,192,140,114,166,166,36,62,132,244,89,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1
37,64,172,64,145,91,64,91,226,253,118,118,118,136,136,199,145,118,172,172,37,64,136,253,93,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1
38,66,178,66,150,94,66,94,234,262,122,122,122,141,141,206,150,122,178,178,38,66,141,262,97,103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1
39,68,184,68,155,97,68,97,242,271,126,126,126,146,146,213,155,126,184,184,39,68,146,271,101,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1
40,70,190,70,160,100,70,100,250,280,130,130,130,151,151,220,160,130,190,190,40,70,151,280,105,111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1
41,72,196,72,165,103,72,103,258,289,134,134,134,155,155,227,165,134,196,196,41,72,155,289,109,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1
42,74,202,74,170,106,74,106,266,298,138,138,138,160,160,234,170,138,202,202,42,74,160,298,113,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,-1,-1
43,76,208,76,175,109,76,109,274,307,142,142,142,165,165,241,175,142,208,208,43,76,165,307,117,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,-1,-1
44,78,214,78,180,112,78,112,282,316,146,146,146,169,169,248,180,146,214,214,44,78,169,316,121,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,-1
45,80,220,80,185,115,80,115,290,325,150,150,150,174,174,255,185,150,220,220,45,80,174,325,125,131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93,-1,-1
46,82,226,82,190,118,82,118,298,334,154,154,154,179,179,262,190,154,226,226,46,82,179,334,129,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,-1,-1
47,84,232,84,195,121,84,121,306,343,158,158,158,183,183,269,195,158,232,232,47,84,183,343,132,139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1
48,86,238,86,200,124,86,124,314,352,162,162,162,188,188,276,200,162,238,238,48,86,188,352,135,143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1
49,88,244,88,205,127,88,127,322,361,166,166,166,193,193,283,205,166,244,244,49,88,193,361,138,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,-1,-1
50,90,250,90,210,130,90,130,330,370,170,170,170,198,198,290,210,170,250,250,50,90,198,370,141,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,105,-1,-1
51,92,256,92,215,133,92,133,338,379,174,174,174,202,202,297,215,174,256,256,51,92,202,379,145,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108,-1,-1
52,94,262,94,220,136,94,136,346,388,178,178,178,207,207,304,220,178,262,262,52,94,207,388,149,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1
53,96,268,96,225,139,96,139,354,397,182,182,182,212,212,311,225,182,268,268,53,96,212,397,153,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,-1,-1
54,98,274,98,230,142,98,142,362,406,186,186,186,216,216,318,230,186,274,274,54,98,216,406,157,171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115,-1,-1
55,100,280,100,235,145,100,145,370,415,190,190,190,221,221,325,235,190,280,280,55,100,221,415,161,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,-1,-1
56,102,286,102,240,148,102,148,378,424,194,194,194,226,226,332,240,194,286,286,56,102,226,424,165,181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1
57,104,292,104,245,151,104,151,386,433,198,198,198,230,230,339,245,198,292,292,57,104,230,433,169,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,-1,-1
58,106,298,106,250,154,106,154,394,442,202,202,202,235,235,346,250,202,298,298,58,106,235,442,173,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,-1
59,108,304,108,255,157,108,157,402,451,206,206,206,240,240,353,255,206,304,304,59,108,240,451,177,196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,128,-1,-1
60,110,310,110,260,160,110,160,410,460,210,210,210,245,245,360,260,210,310,310,60,110,245,460,181,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,-1,-1
61,112,316,112,265,163,112,163,418,469,214,214,214,249,249,367,265,214,316,316,61,112,249,469,186,206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,-1,-1
62,114,322,114,270,166,114,166,426,478,218,218,218,254,254,374,270,218,322,322,62,114,254,478,191,211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,-1,-1
63,116,328,116,275,169,116,169,434,487,222,222,222,259,259,381,275,222,328,328,63,116,259,487,196,216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,-1,-1
64,118,334,118,280,172,118,172,442,496,226,226,226,263,263,388,280,226,334,334,64,118,263,496,201,221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,-1,-1
65,120,340,120,285,175,120,175,450,505,230,230,230,268,268,395,285,230,340,340,65,120,268,505,206,226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,143,-1,-1
66,122,346,122,290,178,122,178,458,514,234,234,234,273,273,402,290,234,346,346,66,122,273,514,211,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,145,-1,-1
67,124,352,124,295,181,124,181,466,523,238,238,238,277,277,409,295,238,352,352,67,124,277,523,216,236,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,148,-1,-1
68,126,358,126,300,184,126,184,474,532,242,242,242,282,282,416,300,242,358,358,68,126,282,532,221,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1
69,128,364,128,305,187,128,187,482,541,246,246,246,287,287,423,305,246,364,364,69,128,287,541,226,246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,153,-1,-1
70,130,370,130,310,190,130,190,490,550,250,250,250,292,292,430,310,250,370,370,70,130,292,550,231,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,-1,-1
71,132,376,132,315,193,132,193,498,559,254,254,254,296,296,437,315,254,376,376,71,132,296,559,236,257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,158,-1,-1
72,134,382,134,320,196,134,196,506,568,258,258,258,301,301,444,320,258,382,382,72,134,301,568,241,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,-1,-1
73,136,388,136,325,199,136,199,514,577,262,262,262,306,306,451,325,262,388,388,73,136,306,577,246,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,-1,-1
74,138,394,138,330,202,138,202,522,586,266,266,266,310,310,458,330,266,394,394,74,138,310,586,251,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,165,-1,-1
75,140,400,140,335,205,140,205,530,595,270,270,270,315,315,465,335,270,400,400,75,140,315,595,256,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,168,-1,-1
76,142,406,142,340,208,142,208,538,604,274,274,274,320,320,472,340,274,406,406,76,142,320,604,261,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,-1,-1
77,144,412,144,345,211,144,211,546,613,278,278,278,324,324,479,345,278,412,412,77,144,324,613,266,293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,-1,-1
78,146,418,146,350,214,146,214,554,622,282,282,282,329,329,486,350,282,418,418,78,146,329,622,271,299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1
79,148,424,148,355,217,148,217,562,631,286,286,286,334,334,493,355,286,424,424,79,148,334,631,276,305,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,178,-1,-1
80,150,430,150,360,220,150,220,570,640,290,290,290,339,339,500,360,290,430,430,80,150,339,635,281,311,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,-1
81,152,436,152,365,223,152,223,578,649,294,294,294,343,343,507,365,294,436,436,81,151,341,640,286,317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,183,-1,-1
82,154,442,154,370,226,154,226,586,658,298,298,298,348,348,514,370,298,442,442,82,152,343,645,291,323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,185,-1,-1
83,156,448,156,375,229,156,229,594,667,302,302,302,353,353,521,375,302,448,448,83,153,345,650,296,329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,-1,-1
84,158,454,158,380,232,158,232,602,676,306,306,306,357,357,528,380,306,454,454,84,154,347,655,301,335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,-1,-1
85,160,460,160,385,235,160,235,610,685,310,310,310,362,362,535,385,310,460,460,85,155,349,660,306,341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,193,-1,-1
86,162,466,162,390,238,162,238,618,694,314,314,314,367,367,542,390,314,466,466,86,156,351,665,312,347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,195,-1,-1
87,164,472,164,395,241,164,241,626,703,318,318,318,371,371,549,395,318,472,472,87,157,353,670,318,353,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,198,-1,-1
88,166,478,166,400,244,166,244,634,712,322,322,322,376,376,556,400,322,478,478,88,158,355,675,324,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1
89,168,484,168,405,247,168,247,642,721,326,326,326,381,381,563,405,326,484,484,89,159,357,680,336,365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,203,-1,-1
90,170,490,170,410,250,170,250,650,730,330,330,330,386,386,570,410,330,490,490,90,170,386,730,342,370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,205,-1,-1
91,172,496,172,415,253,172,253,658,739,334,334,334,390,390,577,415,334,496,496,91,171,388,735,348,378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,-1,-1
92,174,502,174,420,256,174,256,666,748,338,338,338,395,395,584,420,338,502,502,92,172,390,740,354,386,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,210,-1,-1
93,176,508,176,425,259,176,259,674,757,342,342,342,400,400,591,425,342,508,508,93,173,392,745,360,394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,213,-1,-1
94,178,514,178,430,262,178,262,682,766,346,346,346,404,404,598,430,346,514,514,94,174,394,750,366,402,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,215,-1,-1
95,180,520,180,435,265,180,265,690,775,350,350,350,409,409,605,435,350,520,520,95,175,396,755,372,410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,218,-1,-1
96,182,526,182,440,268,182,268,698,784,354,354,354,414,414,612,440,354,526,526,96,176,398,760,378,418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1
97,184,532,184,445,271,184,271,706,793,358,358,358,418,418,619,445,358,532,532,97,177,400,765,384,426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,223,-1,-1
98,186,538,186,450,274,186,274,714,802,362,362,362,423,423,626,450,362,538,538,98,178,402,770,390,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,-1,-1
99,188,544,188,455,277,188,277,722,811,366,366,366,428,428,633,455,366,544,544,99,188,404,775,396,442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,228,-1,-1
100,190,550,190,460,280,190,280,730,820,370,370,370,433,433,640,460,370,550,550,100,190,430,820,402,450,-1,-1,-1,272,819,363,728,363,363,363,819,363,363,363,819,363,-1,-1,-1,-1,230,-1,-1
101,192,556,192,465,283,192,283,738,829,374,374,374,438,438,647,465,374,556,556,101,190,433,825,408,458,-1,-1,-1,275,828,368,736,368,368,368,828,368,368,368,828,368,-1,-1,-1,-1,233,-1,-1
102,194,562,194,470,286,194,286,746,838,378,378,378,443,443,654,470,378,562,562,102,190,436,830,414,466,-1,-1,-1,279,837,372,744,372,372,372,837,372,372,372,837,372,-1,-1,-1,-1,235,-1,-1
103,196,568,196,475,289,196,289,754,847,382,382,382,448,448,661,475,382,568,568,103,190,439,845,420,474,-1,-1,-1,283,846,377,752,377,377,377,846,377,377,377,846,377,-1,-1,-1,-1,238,-1,-1
104,198,574,198,480,292,198,292,762,856,386,386,386,453,453,668,480,386,574,574,104,190,442,850,426,482,-1,-1,-1,286,855,381,760,381,381,381,855,381,381,381,855,381,-1,-1,-1,-1,240,-1,-1
105,200,580,200,485,295,200,295,770,865,390,390,390,458,458,675,485,390,580,580,105,190,445,855,432,490,-1,-1,-1,290,864,386,769,386,386,386,864,386,386,386,864,386,-1,-1,-1,-1,243,-1,-1
106,202,586,202,490,298,202,298,778,874,394,394,394,463,463,682,490,394,586,586,106,190,448,860,438,498,-1,-1,-1,293,873,390,777,390,390,390,873,390,390,390,873,390,-1,-1,-1,-1,245,-1,-1
107,204,592,204,495,301,204,301,786,883,398,398,398,468,468,689,495,398,592,592,107,190,451,865,444,506,-1,-1,-1,297,882,395,785,395,395,395,882,395,395,395,882,395,-1,-1,-1,-1,248,-1,-1
108,206,598,206,500,304,206,304,794,892,402,402,402,473,473,696,500,402,598,598,108,190,454,870,450,514,-1,-1,-1,301,892,399,793,399,399,399,892,399,399,399,892,399,-1,-1,-1,-1,250,-1,-1
109,208,604,208,505,307,208,307,802,901,406,406,406,478,478,703,505,406,604,604,109,200,500,900,456,522,-1,-1,-1,300,900,400,800,400,400,400,900,400,400,400,900,400,109,522,522,456,253,652,1125
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,310,910,410,810,410,410,410,910,410,410,410,910,410,114,530,530,462,257,662,1137
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,313,919,414,818,414,414,414,919,414,414,414,919,414,119,538,538,468,261,672,1148
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,316,928,418,826,418,418,418,928,418,418,418,928,418,124,546,546,474,265,682,1160
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,319,937,422,834,422,422,422,937,422,422,422,937,422,129,554,554,480,269,692,1171
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,322,946,426,842,426,426,426,946,426,426,426,946,426,134,562,562,486,273,702,1182
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,325,955,430,850,430,430,430,955,430,430,430,955,430,139,570,570,492,278,712,1193
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,328,964,434,858,434,434,434,964,434,434,434,964,434,144,578,578,498,283,722,1205
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,331,973,438,866,438,438,438,973,438,438,438,973,438,149,586,586,504,288,732,1216
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,334,982,442,874,442,442,442,982,442,442,442,982,442,154,594,594,510,293,742,1227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,337,991,446,882,446,446,446,991,446,446,446,991,446,159,602,602,516,298,752,1238
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,1000,450,890,450,450,450,1000,450,450,450,1000,450,164,610,610,522,304,762,1250
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,343,1009,454,898,454,454,454,1009,454,454,454,1009,454,169,618,618,528,310,772,1261
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,346,1018,458,906,458,458,458,1018,458,458,458,1018,458,174,626,626,534,316,782,1272
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,349,1027,462,914,462,462,462,1027,462,462,462,1027,462,179,634,634,540,322,792,1283
