//mob_db.txt＠Auriga 2015/12/28 03:42:52 (JST) http://www25.atpages.jp/honeyberry/
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK,MATK,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
1012,RODA_FROG,ロッダフロッグ,5,304,0,8,5,1,5,4,12,5,12,6,4,0,14,9,10,12,1,5,21,129,200,2016,816,288,918,9000,713,2000,908,500,511,300,721,7,0,0,0,0,0,0,0,0,4014,1,0,0,0,0,0,0,0,0
1013,WOLF,ウルフ,16,687,0,42,24,1,48,11,55,3,17,14,30,15,33,5,10,12,1,2,22,137,200,1054,504,432,920,9000,919,5500,528,1050,517,650,578,600,1011,20,2308,10,0,0,0,0,4029,1,0,0,0,0,0,0,0,0
1014,SPORE,スポア,13,467,0,18,18,1,18,8,12,10,5,5,10,0,12,0,10,12,1,3,21,129,200,1872,672,288,921,9000,507,800,578,600,510,50,2220,40,743,10,7033,5,0,0,0,0,4022,1,0,0,0,0,0,0,0,0
1015,ZOMBIE,ゾンビ,15,507,0,27,12,1,23,12,20,3,5,8,17,0,15,0,10,12,1,1,29,4229,400,2612,912,288,957,9000,938,1000,727,70,958,50,724,5,0,0,0,0,0,0,0,0,4038,1,0,0,0,0,0,0,0,0
1016,ARCHER_SKELETON,アーチャースケルトン,36,3648,0,2029,1148,9,114,23,47,10,10,29,20,10,52,15,10,12,1,1,29,133,300,2864,864,576,932,4500,501,1,12008,1,1701,150,756,70,1708,35,2285,3,0,0,0,0,4094,1,0,0,0,0,0,0,0,0
1017,THIEF_BUG_FEMALE,盗蟲,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
1018,CREAMY,クリーミー,16,710,0,32,18,1,45,9,28,20,6,43,1,0,21,20,10,12,0,4,24,129,150,1136,720,840,924,9000,712,500,518,150,602,100,692,100,2322,10,2207,2,0,0,0,0,4040,1,0,0,0,0,0,0,0,0
1019,PECOPECO,ペコペコ,17,755,0,123,52,1,42,7,48,0,11,10,13,5,28,5,10,12,2,2,23,137,200,1564,864,576,925,9000,582,1000,507,900,508,200,1604,100,2402,20,0,0,0,0,0,0,4031,1,0,0,0,0,0,0,0,0
1020,MANDRAGORA,マンドラゴラ,10,300,0,105,90,4,81,3,13,2,12,1,5,5,11,5,10,12,1,3,62,132,1000,1768,768,576,905,9000,511,350,711,300,993,50,1405,30,1967,10,706,3,0,0,0,0,4030,1,0,0,0,0,0,0,0,0
1021,THIEF_BUG_MALE,盗蟲,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
1022,WERE_WOLF,ウェアウルフ,80,34320,0,17719,10933,1,1280,1640,65,35,1,97,60,1,135,52,10,10,2,2,60,181,200,1500,768,652,999,500,1034,4000,984,500,985,500,7017,800,714,380,1912,300,512,0,512,0,0,0,0,0,0,0,0,0,0,0
1023,ORK_WARRIOR,オークウォリアー,75,12000,0,7200,3600,1,63,33,52,3,12,15,24,15,16,10,10,12,1,7,22,5765,200,1864,864,288,931,9000,998,210,756,40,1352,10,1304,5,2267,3,2147,3,0,0,0,0,4066,1,0,0,0,0,0,0,0,0
1024,WORM_TAIL,ワームテール,14,455,0,21,16,1,12,5,16,0,10,6,14,5,12,35,10,12,1,3,22,145,200,1048,48,192,906,5500,10015,100,508,70,993,60,1408,30,1011,25,721,5,0,0,0,0,4034,1,0,0,0,0,0,0,0,0
1025,SNAKE,スネイク,25,2469,0,1234,740,1,47,5,9,8,8,8,18,10,14,15,10,12,1,2,22,129,200,1576,576,576,937,800,926,9000,501,1,578,600,1117,15,1011,35,954,1,0,0,0,0,4037,1,0,0,0,0,0,0,0,0
1026,MUNAK,ムナック,60,4922,0,812,252,1,121,30,77,15,22,9,25,10,30,10,10,12,1,1,29,5765,200,2468,768,288,901,9000,2305,100,609,20,2404,15,1558,5,2264,2,2337,1,0,0,0,0,4090,1,0,0,0,0,0,0,0,0
1027,RAPTICE,ラプティス,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,200,1600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0
1028,SOLDIER_SKELETON,ソルジャースケルトン,29,3920,0,2693,1081,1,87,14,53,5,4,10,32,5,29,3,10,12,1,1,29,4229,200,2276,576,432,932,5500,507,700,756,60,1216,50,1214,12,934,10,2315,1,0,0,0,0,4086,1,0,0,0,0,0,0,0,0
1029,ISIS,イシス,77,42015,0,23108,14705,1,475,37,83,5,58,43,22,5,39,15,10,12,2,6,27,149,200,1384,768,336,936,5335,954,1000,2603,1,731,5,733,150,732,20,2233,5,0,0,0,0,4116,1,0,0,0,0,0,0,0,0
1030,ANACONDAQ,アナコンダク,35,5500,0,3030,2020,1,152,55,92,0,31,46,28,43,56,25,10,12,1,2,25,145,200,1576,576,576,937,9000,937,1,926,1500,936,200,6247,200,503,1,756,50,0,0,0,0,4062,1,0,0,0,0,0,0,0,0
1031,POPORING,ポポリン,14,494,0,172,148,1,11,20,36,17,17,26,20,18,36,5,10,12,1,3,25,131,300,1672,672,480,938,5500,910,1500,511,500,512,250,514,200,1207,5,512,1,0,0,0,0,4033,1,0,0,0,0,0,0,0,0
1032,VERIT,ベリット,78,45114,0,24812,15789,1,575,20,63,10,51,4,25,10,35,5,10,12,1,1,29,139,250,2468,768,480,929,9000,912,700,509,600,930,1100,639,20,2581,1,2580,1,0,0,0,0,4107,1,0,0,0,0,0,0,0,0
1033,ELDER_WILOW,エルダーウィロー,20,1294,0,94,75,1,50,14,45,0,10,14,25,0,29,0,10,12,1,3,43,1685,200,1372,672,432,907,9000,604,100,690,100,990,50,757,40,2329,30,7939,1,0,0,0,0,4052,1,0,0,0,0,0,0,0,0
1034,THARA_FROG,タラフロッグ,43,1844,0,150,95,1,52,30,37,17,5,10,10,18,30,2,10,12,1,5,41,129,200,2016,816,288,908,5500,918,2000,911,600,1011,45,509,30,725,5,0,0,0,0,0,0,4058,1,0,0,0,0,0,0,0,0
1035,HUNTER_FLY,ハンターフライ,43,4493,0,1332,604,1,344,20,46,20,32,72,22,25,79,15,10,12,0,4,44,5765,150,676,576,480,943,5335,912,1300,756,129,999,100,996,30,1226,2,2259,1,0,0,0,0,4115,1,0,0,0,0,0,0,0,0
1036,GHOUL,グール,52,7644,0,2675,2293,1,197,29,78,5,56,12,19,11,27,10,10,12,1,1,49,4229,250,2456,912,504,958,6000,511,800,509,700,934,150,756,110,2609,60,1260,1,0,0,0,0,4110,1,0,0,0,0,0,0,0,0
1037,SIDE_WINDER,サイドワインダー,102,92240,0,55344,41508,1,714,30,101,12,52,32,35,20,166,15,10,12,1,2,25,149,200,1576,576,576,937,2500,954,5335,926,5000,912,1400,509,1000,984,1,1120,2,0,0,0,0,4117,1,0,0,0,0,0,0,0,0
1038,OSIRIS,オシリス,78,1015400,0,105684,47836,1,2146,903,172,164,97,99,86,131,145,67,10,12,1,1,89,437,100,1072,672,384,617,2000,1009,1000,1255,600,2235,200,1232,150,5053,150,1285,2,0,0,0,0,4144,1,52842,10000,608,3000,12590,4000,751,500
1039,BAPHOMET,バフォメット,111,666666,0,146348,111898,2,1956,1284,279,45,120,125,30,85,155,85,10,12,2,6,67,437,100,768,768,576,985,5432,984,4171,714,500,1466,400,2256,300,1476,50,5160,10,0,0,0,0,4147,1,23174,10000,923,5000,12590,2000,750,500
1040,GOLEM,ゴーレム,20,3686,0,670,3,1,256,25,184,12,70,27,67,5,21,5,10,12,2,0,60,145,300,1608,816,396,953,9000,998,350,912,220,715,200,999,150,757,70,2146,5,0,0,0,0,4072,1,0,0,0,0,0,0,0,0
1041,MUMMY,マミー,52,6211,0,3716,2473,1,214,21,95,3,54,4,14,1,62,0,10,12,1,1,49,5765,300,1772,72,384,930,9000,508,850,934,550,525,250,756,100,2611,10,2604,1,0,0,0,0,4106,1,0,0,0,0,0,0,0,0
1042,STEEL_CHONCHON,スチールチョンチョン,17,454,0,31,12,1,34,35,57,20,15,62,20,10,56,10,10,12,0,4,24,139,150,1076,576,480,935,9000,910,2400,1002,300,998,200,992,90,943,30,999,30,0,0,0,0,4042,1,0,0,0,0,0,0,0,0
1043,SEAHORES,シーホース,18,1742,0,183,117,3,50,75,15,7,1,1,1,1,1,1,10,10,0,5,22,129,200,1500,800,600,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,0,0,0,0,0,0,0,0,0,0
1044,OBEAUNE,オボンヌ,65,12840,0,5778,5136,1,168,22,8,6,14,27,14,40,26,15,10,12,1,5,41,1685,200,1872,672,288,950,9000,525,1,2326,10,748,30,995,13,720,10,5014,1,0,0,0,0,4093,1,0,0,0,0,0,0,0,0
1045,MARC,マルク,80,18966,0,8534,7586,1,240,28,55,14,25,19,22,35,28,12,10,12,1,5,41,5765,150,1272,72,480,956,9000,951,1000,509,700,717,200,756,95,995,18,720,10,0,0,0,0,4105,1,0,0,0,0,0,0,0,0
1046,DOPPELGANGER,ドッペルゲンガー,72,749000,0,51856,22097,1,2026,1176,246,86,122,122,105,67,169,72,10,12,1,6,67,437,100,480,480,288,985,3686,984,2700,1411,550,2258,350,2317,250,1162,220,1168,150,0,0,0,0,4142,1,25928,10000,505,6000,12590,500,616,0
1047,PECOPECO_EGG,ペコペコの卵,3,310,0,3,4,0,3,0,5,5,4,10,4,8,10,5,10,12,0,0,60,0,1000,1001,1,1,713,1800,935,1500,507,400,507,1,1010,250,736,10,2102,2,0,0,0,0,4007,1,0,0,0,0,0,0,0,0
1048,THIEF_BUG_EGG,盗蟲の卵,4,1560,0,15,20,0,5,1,6,10,10,1,5,0,3,15,10,12,0,4,27,0,1000,701,1,1,915,5000,938,600,1010,300,1002,250,716,100,737,10,2102,2,0,0,0,0,4012,1,0,0,0,0,0,0,0,0
1049,PICKY,ピッキ,3,119,0,3,2,1,3,1,21,3,14,9,10,0,10,3,10,12,0,2,23,129,200,988,288,168,916,9000,949,700,507,550,519,300,2302,150,715,50,0,0,0,0,0,0,4008,1,0,0,0,0,0,0,0,0
1050,PICKY_,すごいピッキ,4,121,0,5,4,1,4,20,38,10,15,8,10,5,9,3,10,12,0,2,23,129,200,988,288,168,916,9000,949,700,507,600,519,300,715,50,5015,10,10012,10,0,0,0,0,4011,1,0,0,0,0,0,0,0,0
1051,THIEF_BUG,盗蟲,6,216,0,7,8,1,6,5,24,3,19,13,10,0,12,5,10,12,0,4,60,139,150,1288,288,768,955,2500,909,2000,507,350,1002,250,2303,120,2304,80,0,0,0,0,0,0,4016,1,0,0,0,0,0,0,0,0
1052,ROCKER,ロッカー,8,329,0,8,6,1,8,5,16,3,12,18,8,10,17,5,10,12,1,4,22,129,200,1864,864,540,940,9000,1402,80,1916,10,752,10,703,10,520,10,2298,4,0,0,0,0,4021,1,0,0,0,0,0,0,0,0
1053,THIEF_BUG_,雌盗蟲,35,2072,0,237,90,1,36,16,28,7,12,23,23,10,24,10,10,12,1,4,27,139,200,988,288,768,955,3500,507,400,1002,300,910,250,928,200,716,50,1108,15,0,0,0,0,4026,1,0,0,0,0,0,0,0,0
1054,THIEF_BUG__,雄盗蟲,44,4999,0,880,424,1,103,21,40,20,35,32,22,5,32,13,10,12,1,4,27,133,300,988,288,768,928,5500,955,1500,508,90,1116,50,1011,40,1152,10,729,5,0,0,0,0,4050,1,0,0,0,0,0,0,0,0
1055,MUKA,ムカー,12,523,0,27,11,1,15,9,28,0,8,9,28,5,43,5,10,12,2,3,22,129,300,1960,960,384,952,9000,713,2000,507,1000,511,400,1002,250,993,70,1451,50,0,0,0,0,4036,1,0,0,0,0,0,0,0,0
1056,SMOKIE,スモーキー,21,790,0,52,32,1,40,11,26,0,6,34,16,5,27,5,10,12,0,2,22,145,200,1576,576,420,919,5500,945,5500,516,800,912,5,729,2,754,2,2213,1,0,0,0,0,4044,1,0,0,0,0,0,0,0,0
1057,YOYO,ヨーヨー,26,849,0,59,25,1,57,11,10,0,20,11,34,20,19,10,10,12,0,2,22,139,200,1054,54,384,942,9000,513,1500,578,1000,7182,900,508,200,756,24,753,10,0,0,0,0,4051,1,0,0,0,0,0,0,0,0
1058,METALLER,メタルラ,22,1794,0,136,72,1,62,41,72,12,26,24,10,0,47,31,10,12,1,4,23,139,200,1708,1008,540,940,6500,935,3000,911,400,990,60,757,49,707,20,1914,10,0,0,0,0,4057,1,0,0,0,0,0,0,0,0
1059,MISTRESS,ミストレス,94,1212000,0,131403,62888,1,2500,2367,187,192,76,186,88,113,172,79,10,12,0,4,84,437,100,1148,648,300,518,10000,985,4268,616,1000,2249,250,1413,150,16001,2,7018,10,0,0,0,0,4132,1,65701,10000,526,4000,12590,3000,996,1500
1060,BIGFOOT,ビッグフット,25,1387,0,101,39,1,75,12,55,7,18,4,7,0,12,0,10,12,2,2,22,1681,300,1260,192,192,948,9000,919,5000,516,1500,518,450,740,80,756,43,2289,5,0,0,0,0,4074,1,0,0,0,0,0,0,0,0
1061,NIGHTMARE,ナイトメア,55,19606,0,7842,8234,1,269,62,116,15,27,32,20,15,70,15,10,12,2,6,68,149,150,1816,816,432,944,6000,510,500,505,100,984,60,603,30,2608,2,1261,1,0,0,0,0,4127,1,0,0,0,0,0,0,0,0
1062,PORING_,サンタポリン,3,130,0,3,2,1,4,4,0,0,1,14,3,10,12,90,10,12,1,3,26,129,400,1672,672,480,529,2000,7175,1,7174,1,507,1000,530,1000,2236,100,664,1,0,0,0,0,4005,1,0,0,0,0,0,0,0,0
1063,LUNATIC,ルナティック,3,260,0,5,3,1,4,1,18,0,10,3,3,0,8,5,10,12,0,2,60,129,200,1456,456,336,705,6500,512,2000,515,1100,949,1000,507,600,622,20,2262,4,0,0,0,0,4006,1,0,0,0,0,0,0,0,0
1064,MEGALODON,メガロドン,24,1412,0,53,78,1,51,32,52,28,25,24,30,28,29,15,10,12,1,1,29,129,200,2492,792,432,959,5500,932,1500,717,120,510,80,624,20,719,10,603,2,0,0,0,0,4067,1,0,0,0,0,0,0,0,0
1065,STROUF,ストラウフ,79,17517,0,7882,7006,1,132,127,47,10,34,11,31,20,33,20,10,12,2,5,61,4229,150,1872,672,384,951,5335,949,3000,956,1500,756,115,720,20,1461,2,2315,2,0,0,0,0,4111,1,0,0,0,0,0,0,0,0
1066,VADON,バドン,49,8676,0,3904,3470,1,282,25,24,2,9,16,18,10,3,15,10,12,0,5,21,145,300,1632,432,540,960,9000,910,3000,717,50,943,100,2313,5,757,40,991,40,0,0,0,0,4049,1,0,0,0,0,0,0,0,0
1067,CORNUTUS,カナトウス,55,9522,0,4284,3808,1,112,18,30,10,21,12,10,0,12,20,10,12,0,5,21,145,200,1248,48,480,961,5500,943,1000,911,800,717,100,757,53,991,45,2106,5,0,0,0,0,4061,1,0,0,0,0,0,0,0,0
1068,HYDRA,ヒドラ,22,500,0,250,200,7,34,6,0,0,6,0,4,0,22,2,10,12,0,3,41,132,1000,800,432,600,517,700,962,5500,517,1,938,1500,1011,25,971,20,525,5,0,0,0,0,4035,1,0,0,0,0,0,0,0,0
1069,SWORD_FISH,ソードフィッシュ,78,16085,0,7238,6434,1,244,7,47,12,45,13,25,5,40,15,10,12,2,5,41,4229,200,1968,768,384,963,9000,956,600,757,50,756,33,1117,25,995,10,2257,2,0,0,0,0,4089,1,0,0,0,0,0,0,0,0
1070,KUKRE,ククレ,15,124,0,62,49,1,12,4,0,0,7,9,0,0,9,0,10,12,0,5,21,131,150,1776,576,288,955,5500,507,650,528,500,928,450,910,400,991,30,623,20,0,0,0,0,4027,1,0,0,0,0,0,0,0,0
1071,PIRATE_SKEL,パイレーツスケル,25,1436,0,84,72,1,59,20,20,0,15,5,25,1,30,10,10,12,1,1,29,4229,200,1754,554,288,932,3000,2211,250,1104,250,756,43,628,20,2287,15,7477,5,0,0,0,0,4073,1,0,0,0,0,0,0,0,0
1072,KAHO,カホ,72,7207,0,4091,2487,1,498,224,106,55,81,61,55,65,66,73,10,12,1,6,83,4229,150,1700,1000,500,7097,3000,757,1000,716,300,1003,150,690,100,994,30,970,5,0,0,0,0,4065,1,0,0,0,0,0,0,0,0
1073,CRAB,カニ,20,921,0,40,24,1,54,10,36,11,17,14,24,7,28,15,7,12,0,5,21,129,200,992,792,360,964,5500,960,1500,7049,700,757,37,1001,13,0,0,0,0,0,0,0,0,4153,1,0,0,0,0,0,0,0,0
1074,SHELLFISH,お化け貝,15,789,0,30,17,1,24,22,43,5,12,11,48,25,26,10,10,12,0,5,21,145,200,864,864,384,965,5500,966,1000,1056,1000,7049,500,757,18,1001,10,0,0,0,0,0,0,4273,1,0,0,0,0,0,0,0,0
1075,TURTLE,タートル,3,77,0,0,0,1,1,2,35,0,1,1,1,1,1,1,7,12,0,5,22,129,200,500,500,500,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0,0,0,0,0,0,0,0,0,0,0
1076,SKELETON,スケルトン,10,350,0,18,7,1,10,24,21,2,18,15,30,5,19,1,10,12,1,1,29,145,200,2228,528,576,909,3000,507,850,932,800,1010,90,1505,80,2609,30,0,0,0,0,0,0,4025,1,0,0,0,0,0,0,0,0
1077,POISON_SPORE,ポイズンスポア,19,970,0,339,291,1,70,15,40,8,9,17,22,5,20,5,10,12,1,3,25,5765,200,1672,672,288,7033,9000,921,1200,511,550,972,50,510,60,2221,20,912,5,0,0,0,0,4048,1,0,0,0,0,0,0,0,0
1078,RED_PLANT,赤い草,1,12,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,507,5500,7933,300,712,1000,711,1000,905,500,914,500,708,50,2269,2,0,0,0,0,0,0,0,0,0,0,0,0
1079,BLUE_PLANT,青い草,1,12,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,510,5500,7932,300,712,1000,514,1000,711,1000,905,500,522,50,2270,2,0,0,0,0,0,0,0,0,0,0,0,0
1080,GREEN_PLANT,緑色草,1,12,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,511,7000,905,3000,906,1500,7934,300,704,50,521,50,621,20,2270,2,0,0,0,0,0,0,0,0,0,0,0,0
1081,YELLOW_PLANT,黄色草,1,12,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,508,5500,7937,300,712,1000,711,1000,905,500,914,500,707,5,2269,2,0,0,0,0,0,0,0,0,0,0,0,0
1082,WHITE_PLANT,白い草,1,12,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,509,5500,905,3000,7935,300,712,1000,521,50,703,50,631,20,2269,2,0,0,0,0,0,0,0,0,0,0,0,0
1083,SHINING_PLANT,輝く草,1,24,0,0,0,1,1,1,100,99,0,0,0,0,0,90,7,12,0,3,26,64,2000,200,1,1,510,5500,508,1000,509,1000,7938,500,607,50,608,20,710,5,714,1,0,0,0,0,0,0,0,0,0,0,0,0
1084,BLACK_MUSHROOM,黒いきのこ,1,18,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,921,5500,921,1,7033,5500,949,2000,991,800,970,50,971,50,630,20,0,0,0,0,0,0,0,0,0,0,0,0
1085,RED_MUSHROOM,赤いきのこ,1,18,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,64,2000,200,1,1,921,5500,921,1,7033,5500,949,2000,990,1000,970,50,972,50,630,20,0,0,0,0,0,0,0,0,0,0,0,0
1086,GOLDEN_BUG,黄金蟲,64,645600,0,22170,11242,1,685,843,159,81,71,77,80,62,127,76,10,12,2,4,43,171,100,768,768,480,985,2000,984,1500,969,1000,10016,500,714,300,2246,250,1524,150,0,0,0,0,4128,1,11085,10000,12590,500,2610,2000,701,1000
1087,ORK_HERO,オークヒーロー,81,985700,0,105303,49680,1,2690,441,197,70,97,82,107,71,144,43,10,12,2,7,42,437,150,1678,780,648,968,9700,985,4559,1124,1000,10018,500,2106,250,1366,150,1387,2,0,0,0,0,4143,1,52651,10000,12590,5000,725,2000,607,1500
1088,VOCAL,ボーカル,42,4585,0,6480,3390,1,132,11,77,26,77,26,26,30,53,40,10,12,1,4,22,437,200,1080,648,480,940,8000,752,1500,721,1000,2420,1000,7938,500,2247,50,1917,10,0,0,0,0,4211,1,0,0,0,0,0,0,0,0
1089,TOAD,トード,42,5065,0,6450,3120,1,101,19,24,6,32,19,27,10,24,5,10,12,1,5,21,437,200,1236,336,432,518,2000,729,1000,5125,1000,7938,500,970,100,971,100,2244,50,0,0,0,0,4306,1,0,0,0,0,0,0,0,0
1090,MASTERING,マスターリング,42,3978,0,6240,3150,1,100,40,48,31,35,21,41,12,29,60,10,12,1,3,21,437,300,1072,672,480,512,8000,531,4000,722,1000,2116,1000,7938,500,2257,200,619,50,0,0,0,0,4197,1,0,0,0,0,0,0,0,0
1091,DRAGON_FLY,ドラゴンフライ,42,3608,0,6390,3240,1,131,33,57,28,37,44,30,15,44,15,10,12,0,4,24,437,100,1076,576,480,507,8000,2607,3000,533,3000,742,2000,719,1500,2245,200,625,50,0,0,0,0,4179,1,0,0,0,0,0,0,0,0
1092,VAGABOND_WOLF,さすらい狼,42,4980,0,7110,3780,1,145,46,102,51,72,63,55,29,90,15,10,12,1,2,22,437,150,1048,648,432,920,8000,728,1500,2521,1000,7938,500,2248,200,1148,100,626,50,0,0,0,0,4183,1,0,0,0,0,0,0,0,0
1093,ECLIPSE,エクリプス,42,4350,0,6270,3240,1,111,20,50,20,20,28,35,17,27,55,10,12,1,2,60,437,200,1456,456,336,507,8000,727,1200,2355,1000,7938,500,2250,200,622,50,706,30,0,0,0,0,4266,1,0,0,0,0,0,0,0,0
1094,AMBERNITE,アンバーナイト,13,424,0,20,15,1,11,11,28,0,16,20,11,10,21,5,10,12,2,4,21,145,400,2048,648,648,946,9000,935,3000,910,1200,1002,150,991,50,757,14,943,2,0,0,0,0,4032,1,0,0,0,0,0,0,0,0
1095,ANDRE,アンドレ,74,14952,0,8971,6728,1,226,21,226,0,212,20,200,212,24,10,10,12,0,4,22,139,300,1288,288,384,955,9000,998,1,938,500,993,50,718,1,1001,4,757,28,0,0,0,0,4043,1,0,0,0,0,0,0,0,0
1096,ANGELING,エンジェリング,77,65000,0,8024,8021,1,415,145,72,238,58,50,33,105,67,200,10,12,1,8,86,437,200,1072,672,672,509,2000,610,500,2254,100,2324,60,714,40,512,28,2282,1,0,0,0,0,4054,1,0,0,0,0,0,0,0,0
1097,ANT_EGG,蟻の卵,4,663,0,4,5,0,4,1,68,45,5,1,65,5,10,30,10,12,0,0,60,0,1000,1001,1,1,713,2000,935,2000,909,2000,938,650,1010,320,1002,200,0,0,0,0,0,0,4013,1,0,0,0,0,0,0,0,0
1098,ANUBIS,アヌビス,120,195426,0,88856,59313,1,759,215,103,48,88,67,40,128,89,55,10,12,2,7,49,405,150,1250,728,576,1045,4365,984,105,15042,1,1625,10,1614,3,7114,1,2617,1,0,0,0,0,4138,1,0,0,0,0,0,0,0,0
1099,ARGIOPE,アルギオペ,46,4756,0,436,248,1,172,50,138,2,30,23,40,30,20,30,10,12,2,4,25,1941,300,1792,792,336,1042,5335,511,1500,912,1200,757,175,719,10,2406,5,0,0,0,0,0,0,4114,1,0,0,0,0,0,0,0,0
1100,ARGOS,アルゴス,43,3957,0,2129,1348,1,65,33,58,8,18,17,25,5,26,15,10,12,2,4,25,149,300,1468,468,768,1025,9000,1025,1,506,1,1042,500,503,1,757,61,10017,15,0,0,0,0,4075,1,0,0,0,0,0,0,0,0
